,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
72,72,Mount Pleasant Heights - House,"$240,000",4 bedrooms,2 bathrooms,1360 m²,harare north
73,73,Greystone Park - House,"$525,000",5 bedrooms,3 bathrooms,5425 m²,harare north
74,74,Mount Pleasant - House,"$400,000",3 bedrooms,3 bathrooms,1939 m²,harare north
75,75,Rhodesville - House,"$350,000",3 bedrooms,2 bathrooms,1517 m²,harare east
76,76,Newlands - House,"$360,000",3 bedrooms,2 bathrooms,2800 m²,harare north
77,77,Westgate - House,"$185,000",4 bedrooms,2 bathrooms,948 m²,harare west
78,78,Ashdown Park - House,"$140,000",3 bedrooms,2 bathrooms,617 m²,harare west
79,79,Glen Norah - House,"$25,000",3 bedrooms,1 bathrooms,300 m²,harare high density
80,80,Alexandra Park - House,"$650,000",5 bedrooms,4 bathrooms,3500 m²,harare north
81,81,Chisipite - House,"$800,000",4 bedrooms,not stated,6953 m²,harare north
82,82,Emerald Hill - House,"$295,000",3 bedrooms,2 bathrooms,2100 m²,harare west
83,83,Mount Pleasant Heights - House,"$250,000",4 bedrooms,3 bathrooms,2000 m²,harare north
84,84,Helensvale - House,"$480,000",4 bedrooms,3 bathrooms,3950 m²,harare north
85,85,Westgate - House,"$132,000",3 bedrooms,2 bathrooms,1000 m²,harare west
86,86,Mount Pleasant Heights - House,"$300,000",5 bedrooms,not stated,2209 m²,harare north
87,87,Greystone Park - House,"$450,000",4 bedrooms,3 bathrooms,4000 m²,harare north
88,88,Zimre Park - House,"$95,000",5 bedrooms,3 bathrooms,1818 m²,harare east
89,89,Victoria Falls - House,"$180,000",2 bedrooms,2 bathrooms,540 m²,victoria falls
90,90,Highlands - House,"$790,000",4 bedrooms,6 bathrooms,4000 m²,harare north
91,91,Southview Park - House,"$32,000",3 bedrooms,2 bathrooms,200 m²,harare south
92,92,Avondale - House,"$1,100,000",3 bedrooms,2 bathrooms,10000 m²,harare north
93,93,Borrowdale - House,"$1,050,000",5 bedrooms,5 bathrooms,4316 m²,harare north
94,94,"Greendale - House, Townhouse Complex","$220,000",3 bedrooms,2 bathrooms,450 m²,harare east
95,95,Suburbs - House,"$350,000",5 bedrooms,2 bathrooms,3172 m²,bulawayo east
96,96,"Arlington - House, Townhouse Complex","$130,000",4 bedrooms,not stated,368 m²,harare south
97,97,Borrowdale - Townhouse Complex,"$650,000",3 bedrooms,3 bathrooms,880 m²,harare north
98,98,Shawasha Hills - House,"$550,000",5 bedrooms,5 bathrooms,2000 m²,harare north
99,99,Borrowdale - Townhouse Complex,"$375,000",3 bedrooms,3 bathrooms,577 m²,harare north
100,100,Arlington - Townhouse Complex,"$160,000",5 bedrooms,3 bathrooms,520 m²,harare south
101,101,Suburbs - House,"$179,000",3 bedrooms,2 bathrooms,1455 m²,bulawayo east
102,102,Rydale Ridge - House,"$70,000",2 bedrooms,1 bathrooms,2000 m²,harare high density
103,103,Greystone Park - House,"$470,000",4 bedrooms,2 bathrooms,4079 m²,harare north
104,104,Highlands - House,"$660,000",4 bedrooms,4 bathrooms,4000 m²,harare north
105,105,Marlborough - House,"$260,000",3 bedrooms,not stated,4973 m²,harare west
106,106,Mabvazuva - House,"$125,000",4 bedrooms,2 bathrooms,400 m²,ruwa
107,107,Hatfield - House,"$215,000",3 bedrooms,1 bathrooms,4008 m²,harare south
108,108,Avondale - House,"$420,000",3 bedrooms,2 bathrooms,3970 m²,harare north
109,109,Waterfalls - House,"$170,000",3 bedrooms,3 bathrooms,6025 m²,harare south
